"","Scenario","Time","Replicate","AGB_M","SRR_M","Min_rate_M","Fungi_M","GF_M","Lichen_M","Aesthetic_M","Recreation_M","Fungi_val_M","Carbon_stock_M","Nitrogen_stock_M","Timber_M","Tree_richness_M"
"1","Scenario 1",0,1,72.1019104432196,4.00732054611847,24.3029157738894,1.78581653507542,18.9998008104643,27.3592070856368,3.72941909827763,3.21509804033633,0.405631111939893,48.565177444315,508.638636087009,102.31415071216,26.8011771661074
"2","Scenario 1",0,2,72.1019104432196,4.00732054611847,24.3029157738894,1.78581653507542,18.9998008104643,27.3592070856368,3.72941909827763,3.21509804033633,0.405631111939893,48.565177444315,508.638636087009,102.31415071216,26.8011771661074
"3","Scenario 1",0,3,72.1019104432196,4.00732054611847,24.3029157738894,1.78581653507542,18.9998008104643,27.3592070856368,3.72941909827763,3.21509804033633,0.405631111939893,48.565177444315,508.638636087009,102.31415071216,26.8011771661074
"4","Scenario 1",1,1,73.1479245187877,4.00974513988198,24.2676028809346,1.78938411620389,18.949045059823,27.4037946362296,3.73196427092486,3.22158912493195,0.407608725713716,48.9123419693624,509.994087218097,103.510689352087,26.8011771661074
"5","Scenario 1",1,2,73.1479245187877,4.00974513988198,24.2676028809346,1.78938411620389,18.949045059823,27.4037946362296,3.73196427092486,3.22158912493195,0.407608725713716,48.9123419693624,509.994087218097,103.510689352087,26.8011771661074
"6","Scenario 1",1,3,73.1479245187877,4.00974513988198,24.2676028809346,1.78938411620389,18.949045059823,27.4037946362296,3.73196427092486,3.22158912493195,0.407608725713716,48.9123419693624,509.994087218097,103.510689352087,26.8011771661074
"7","Scenario 1",10,1,81.7334541826781,4.02966734694472,23.9762490468281,1.81838904218621,18.5368813122799,27.7664377655749,3.7527482673647,3.27448628944108,0.424080514523628,54.046061501278,518.644484533394,113.790499468102,27.4723878910122
"8","Scenario 1",10,2,81.7593362921876,4.02972666222242,23.9754229132066,1.81848605820363,18.5355011583589,27.7676722657597,3.75281486921294,3.27466525450589,0.42412112164125,54.0684042183235,518.650001738798,113.767055852876,27.5495818191303
"9","Scenario 1",10,3,81.7409616421206,4.02968533129455,23.975954660339,1.81840713461415,18.5366363065001,27.7666666224691,3.75276361617437,3.27452165171382,0.424101193287105,54.0558581488759,518.626351480586,113.728788054764,27.4886891203422
"10","Scenario 1",100,1,136.741645841665,4.15832905876666,22.0379449875969,1.99109067148494,16.0853740324295,29.8957231532272,3.88062197828507,3.58988631053542,0.542293956411665,90.8518443254334,534.972362678444,195.016129661066,25.8847698701118
